INSTNM,CITY,STABBR,ZIP
Capital Health School of Radiologic Technology,Trenton,NJ,08629-1986
Capital Health School of Nursing,Trenton,NJ,08629-1986
Saint Peter's University,Jersey City,NJ,07306-5997
Salem Community College,Carneys Point,NJ,08069-2799
Seton Hall University,South Orange,NJ,07079-2697
Shore Beauty School,Egg Harbor Township,NJ,8234
Saint Elizabeth University,Morristown,NJ,7960
Raritan Valley Community College,Branchburg,NJ,8876
Stevens Institute of Technology,Hoboken,NJ,07030-5991
Stockton University,Galloway,NJ,08205-9441
Talmudical Academy-New Jersey,Adelphia,NJ,7710
Aviation Institute of Maintenance-Teterboro,Teterboro,NJ,07608-1083
Thomas Edison State University,Trenton,NJ,8608
The College of New Jersey,Ewing,NJ,08628-7718
Union County College,Cranford,NJ,07016-1528
William Paterson University of New Jersey,Wayne,NJ,7470
Olympian Academy of Cosmetology,Alamogordo,NM,88310-5051
Central New Mexico Community College,Albuquerque,NM,87106
Navajo Technical University,Crownpoint,NM,87313-0849
New Mexico State University-Dona Ana,Las Cruces,NM,88011
Clovis Community College,Clovis,NM,88101-8381
Eastern New Mexico University-Main Campus,Portales,NM,88130
Eastern New Mexico University-Roswell Campus,Roswell,NM,88202-6000
Institute of American Indian and Alaska Native Culture and Arts Development,Santa Fe,NM,87508-1300
New Mexico Highlands University,Las Vegas,NM,87701
New Mexico Junior College,Hobbs,NM,88240
New Mexico Military Institute,Roswell,NM,88201-5173
University of New Mexico-Gallup Campus,Gallup,NM,87301
New Mexico Institute of Mining and Technology,Socorro,NM,87801
University of New Mexico-Los Alamos Campus,Los Alamos,NM,87544
University of New Mexico-Main Campus,Albuquerque,NM,87106
New Mexico State University-Alamogordo,Alamogordo,NM,88310
Southeast New Mexico College,Carlsbad,NM,88220
New Mexico State University-Grants,Grants,NM,87020-2025
New Mexico State University-Main Campus,Las Cruces,NM,88003-8001
University of New Mexico-Valencia County Campus,Los Lunas,NM,87031-7633
Northern New Mexico College,Espanola,NM,87532
San Juan College,Farmington,NM,87402-4699
Santa Fe Community College,Santa Fe,NM,87508-4887
University of the Southwest,Hobbs,NM,88240
Southwestern College,Santa Fe,NM,87507
Southwestern Indian Polytechnic Institute,Albuquerque,NM,87120-3101
University of New Mexico-Taos Campus,Ranchos de Taos,NM,87557
Mesalands Community College,Tucumcari,NM,88401-3352
Vogue College of Cosmetology-Santa Fe,Santa Fe,NM,87505
Western New Mexico University,Silver City,NM,88061
Vaughn College of Aeronautics and Technology,Flushing,NY,11369
Adelphi University,Garden City,NY,11530-0701
SUNY Adirondack,Queensbury,NY,12804
Bryant & Stratton College-Albany,Albany,NY,12205
Albany College of Pharmacy and Health Sciences,Albany,NY,12208-3492
Albany Law School,Albany,NY,12208
Albany Medical College,Albany,NY,12208-3479
Alfred University,Alfred,NY,14802-1205
Allen School-Brooklyn,Brooklyn,NY,11201
The Ailey School,New York,NY,10019-4402
American Academy of Dramatic Arts-New York,New York,NY,10016
American Academy McAllister Institute of Funeral Service,New York,NY,10036
Joffrey Ballet School,New York,NY,10011
American Musical and Dramatic Academy,New York,NY,10023
Apex Technical School,Long Island City,NY,11101
Arnot Ogden Medical Center,Elmira,NY,14905-1676
Associated Beth Rivkah Schools,Brooklyn,NY,11225-0000
Bank Street College of Education,New York,NY,10025
Bard College,Annandale-On-Hudson,NY,12504-5000
Barnard College,New York,NY,10027-6598
Berk Trade and Business School,Long Island City,NY,11101-8120
Berkeley College-New York,New York,NY,10017
Berkowits School of Electrolysis,Forest Hills,NY,11375-6820
Beth Hamedrash Shaarei Yosher Institute,Brooklyn,NY,11204
Phillips School of Nursing at Mount Sinai Beth Israel,New York,NY,10035-6354
Brittany Beauty Academy,Brooklyn,NY,11209
Boricua College,New York,NY,10032-1560
Brittany Beauty Academy,Levittown,NY,11756-1345
American Beauty School,Bronx,NY,10462
Brooklyn Law School,Brooklyn,NY,11201
SUNY Broome Community College,Binghamton,NY,13901-1001
Bryant & Stratton College-Syracuse North,Liverpool,NY,13090
Bryant & Stratton College-Buffalo,Buffalo,NY,14203
Bryant & Stratton College-Greece,Rochester,NY,14612
Canisius College,Buffalo,NY,14208-1098
Capri Cosmetology Learning Centers,Nanuet,NY,10954
St Paul's School of Nursing-Queens,Rego Park,NY,11374
Cayuga County Community College,Auburn,NY,13021-3099
Cazenovia College,Cazenovia,NY,13035
Central Yeshiva Tomchei Tmimim Lubavitz,Brooklyn,NY,11213-2798
Christ the King Seminary,East Aurora,NY,14052-0607
Christine Valmy International School for Esthetics Skin Care & Makeup,New York,NY,10036
Circle in the Square Theatre School,New York,NY,10019-6795
Clarkson University,Potsdam,NY,13699
Clinton Community College,Plattsburgh,NY,12901
Cochran School of Nursing,Yonkers,NY,10701
Colgate Rochester Crozer Divinity School,Rochester,NY,14607
Colgate University,Hamilton,NY,13346-1398
Metropolitan College of New York,New York,NY,10006-1742
Columbia University in the City of New York,New York,NY,10027
Columbia-Greene Community College,Hudson,NY,12534
Empire Beauty School-Queens,Astoria,NY,11103
Concordia College,Bronxville,NY,10708-1998
Continental School of Beauty Culture-Rochester,Rochester,NY,14623
The Cooper Union for the Advancement of Science and Art,New York,NY,10003-7120
Cornell University,Ithaca,NY,14853
Weill Medical College of Cornell University,New York,NY,10065
SUNY Corning Community College,Corning,NY,14830
Pomeroy College of Nursing at Crouse Hospital,Syracuse,NY,13210-1687
Culinary Institute of America,Hyde Park,NY,12538-1499
CUNY Bernard M Baruch College,New York,NY,10010
CUNY Borough of Manhattan Community College,New York,NY,10007
CUNY Bronx Community College,Bronx,NY,10453
CUNY Brooklyn College,Brooklyn,NY,11210
College of Staten Island CUNY,Staten Island,NY,10314
CUNY City College,New York,NY,10031
CUNY Graduate School and University Center,New York,NY,10016
CUNY Hostos Community College,Bronx,NY,10451
CUNY Hunter College,New York,NY,10065
CUNY John Jay College of Criminal Justice,New York,NY,10019
CUNY Kingsborough Community College,Brooklyn,NY,11235
CUNY LaGuardia Community College,Long Island City,NY,11101
CUNY Lehman College,Bronx,NY,10468
CUNY Medgar Evers College,Brooklyn,NY,11225
CUNY New York City College of Technology,Brooklyn,NY,11201
CUNY Queens College,Queens,NY,11367
CUNY Queensborough Community College,Bayside,NY,11364-1497
CUNY School of Law,Long Island City,NY,11101
CUNY York College,Jamaica,NY,11451
CVPH Medical Center School of Radiologic Technology,Plattsburgh,NY,12901-1438
D'Youville  University,Buffalo,NY,14201-1084
Daemen University,Amherst,NY,14226-3592
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,Far Rockaway,NY,11691-5219
Dominican University New York,Orangeburg,NY,10962-1210
Dutchess Community College,Poughkeepsie,NY,12601-1595
Belanger School of Nursing,Schenectady,NY,12304
Elmira Business Institute,Vestal,NY,13850
Elmira College,Elmira,NY,14901
Erie Community College,Buffalo,NY,14203-2698
Fashion Institute of Technology,New York,NY,10001-5992
Finger Lakes Community College,Canandaigua,NY,14424-8395
Five Towns College,Dix Hills,NY,11746-5871
Fordham University,Bronx,NY,10458
The International Culinary Center,New York,NY,10013-2618
Fulton-Montgomery Community College,Johnstown,NY,12095-3790
Gemological Institute of America-New York,New York,NY,10036
The General Theological Seminary,New York,NY,10011
Genesee Community College,Batavia,NY,14020-9704
Hamilton College,Clinton,NY,13323
Hartwick College,Oneonta,NY,13820-4020
Helene Fuld College of Nursing,New York,NY,10035-2737
Herkimer County Community College,Herkimer,NY,13350-1598
Hilbert College,Hamburg,NY,14075-1597
Hobart William Smith Colleges,Geneva,NY,14456
Hofstra University,Hempstead,NY,11549
Houghton University,Houghton,NY,14744
Hudson Valley Community College,Troy,NY,12180
Hunter Business School,Levittown,NY,11756-1375
Iona University,New Rochelle,NY,10801-1890
Isabella Graham Hart School of Practical Nursing,Rochester,NY,14622
Island Drafting and Technical Institute,Amityville,NY,11701-2704
Ithaca College,Ithaca,NY,14850-7002
Jamestown Community College,Jamestown,NY,14701
Jamestown Business College,Jamestown,NY,14701-4756
Jefferson Community College,Watertown,NY,13601-1897
Jewish Theological Seminary of America,New York,NY,10027-4649
The Juilliard School,New York,NY,10023-6588
Kehilath Yakov Rabbinical Seminary,Ossining,NY,10562
Keuka College,Keuka Park,NY,14478
LIM College,New York,NY,10022-5268
Le Moyne College,Syracuse,NY,13214-1301
Long Island University,Brookville,NY,11548-1327
Long Island Beauty School-Hempstead,Hempstead,NY,11550
Long Island Business Institute,Flushing,NY,11354-5577
Machzikei Hadath Rabbinical College,Brooklyn,NY,11204-1805
Mandl School-The College of Allied Health,New York,NY,10019-5516
Manhattan College,Riverdale,NY,10471-4098
Manhattan School of Music,New York,NY,10027
Manhattanville College,Purchase,NY,10577
Maria College of Albany,Albany,NY,12208
Marion S Whelan School of Nursing of Geneva General Hospital,Geneva,NY,14456-1651
Marist College,Poughkeepsie,NY,12601
Marymount Manhattan College,New York,NY,10021-4597
Medaille University,Buffalo,NY,14214-2695
St. Peter's Hospital College of Nursing,Albany,NY,12208
Memorial Hospital School of Radiation Therapy Technology,New York,NY,10065-6007
Mercy College,Dobbs Ferry,NY,10522
Mesivta Torah Vodaath Rabbinical Seminary,Brooklyn,NY,11218
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,Brooklyn,NY,11218-5559
Mesivtha Tifereth Jerusalem of America,New York,NY,10002-6301
Southern Westchester BOCES-Practical Nursing Program,Harrison,NY,10528
Midway Paris Beauty School,Ridgewood,NY,11385
Mildred Elley School-Albany Campus,Albany,NY,12206-1513
Mirrer Yeshiva Cent Institute,Brooklyn,NY,11223-2010
Modern Welding School,Schenectady,NY,12304
Mohawk Valley Community College,Utica,NY,13501-5394
Molloy College,Rockville Centre,NY,11571-5002
Monroe College,Bronx,NY,10468
Monroe Community College,Rochester,NY,14623
Mount Saint Mary College,Newburgh,NY,12550
Montefiore School of Nursing,Mount Vernon,NY,10550-2009
College of Mount Saint Vincent,Bronx,NY,10471-1093
Icahn School of Medicine at Mount Sinai,New York,NY,10029-6574
Nassau Community College,Garden City,NY,11530-6793
Nazareth College,Rochester,NY,14618-3790
Neighborhood Playhouse School of the Theater,New York City,NY,10022-5017
The New School,New York,NY,10011
The New School Center for Media,New York,NY,10001
Northeast College of Health Sciences,Seneca Falls,NY,13148-0800
New York Law School,New York,NY,10013-2921
New York Medical College,Valhalla,NY,10595
New York School for Medical and Dental Assistants,Long Island City,NY,11101
New York Theological Seminary,New York,NY,10115-0083
New York University,New York,NY,10012-1091
Niagara County Community College,Sanborn,NY,14132
Niagara University,Niagara University,NY,14109
Empire Beauty School-Peekskill,Peekskill,NY,10566
North Country Community College,Saranac Lake,NY,12983-0089
New York College of Podiatric Medicine,New York,NY,10035-1940
New York Institute of Technology,Old Westbury,NY,11568-8000
New York School of Interior Design,New York,NY,10021
Alliance University,New York,NY,10004
Ohr Hameir Theological Seminary,Peekskill,NY,10566
Onondaga Community College,Syracuse,NY,13215-4585
Orange County Community College,Middletown,NY,10940
Otsego Area BOCES-Practical Nursing Program,Oneonta,NY,13820-1142
Pace University,New York,NY,10038-1598
Paul Smiths College of Arts and Science,Paul Smiths,NY,12970-0265
Continental School of Beauty Culture-West Seneca,West Seneca,NY,14224
Plaza College,Forest Hills,NY,11375
Davis College,Pottersville,NY,12860
Pratt Institute-Main,Brooklyn,NY,11205
Rabbinical Academy Mesivta Rabbi Chaim Berlin,Brooklyn,NY,11230
Rabbinical College Bobover Yeshiva Bnei Zion,Brooklyn,NY,11219
Rabbinical College Beth Shraga,Monsey,NY,10952-3033
Rabbinical College of Long Island,Long Beach,NY,11561
Rabbinical Seminary of America,Flushing,NY,11367
Rensselaer Polytechnic Institute,Troy,NY,12180-3590
Roberts Wesleyan University,Rochester,NY,14624
Rochester Institute of Technology,Rochester,NY,14623-5603
University of Rochester,Rochester,NY,14627-0011
The Rockefeller University,New York,NY,10065-6399
Rockland Community College,Suffern,NY,10901-3699
Empire Beauty School-Manhattan,New York,NY,10001
Russell Sage College,Troy,NY,12180
St Bernard's School of Theology and Ministry,Rochester,NY,14618
St Bonaventure University,Saint Bonaventure,NY,14778-9800
St. Francis College,Brooklyn,NY,11201
St. Joseph's College of Nursing,Syracuse,NY,13203
St Lawrence University,Canton,NY,13617
The College of Saint Rose,Albany,NY,12203-1490
St. Thomas Aquinas College,Sparkill,NY,10976-1050
Samaritan Hospital School of Nursing,Troy,NY,12065
Sarah Lawrence College,Bronxville,NY,10708
Schenectady County Community College,Schenectady,NY,12305
Sh'or Yoshuv Rabbinical College,Lawrence,NY,11559-1714
Siena College,Loudonville,NY,12211-1462
Skidmore College,Saratoga Springs,NY,12866
St. Joseph's University-New York,Brooklyn,NY,11205-3688
St. Joseph's College-Long Island,Patchogue,NY,11772
Saint Vladimirs Orthodox Theological Seminary,Yonkers,NY,10707-1699
Saint Elizabeth College of Nursing,Utica,NY,13501
St. John Fisher University,Rochester,NY,14618-3597
St Paul's School of Nursing-Staten Island,Staten Island,NY,10311
St. John's University-New York,Queens,NY,11439
Sullivan County Community College,Loch Sheldrake,NY,12759-5151
SUNY College of Technology at Alfred,Alfred,NY,14802
SUNY College of Technology at Canton,Canton,NY,13617-1098
SUNY College of Technology at Delhi,Delhi,NY,13753-1100
SUNY College of Agriculture and Technology at Cobleskill,Cobleskill,NY,12043
Farmingdale State College,Farmingdale,NY,11735-1021
SUNY Morrisville,Morrisville,NY,13408
SUNY at Albany,Albany,NY,12222
Binghamton University,Vestal,NY,13850-6000
University at Buffalo,Buffalo,NY,14260-1660
Stony Brook University,Stony Brook,NY,11794-0701
SUNY College of Environmental Science and Forestry,Syracuse,NY,13210
SUNY Polytechnic Institute,Utica,NY,13502
SUNY Brockport,Brockport,NY,14420-2919
SUNY Buffalo State University,Buffalo,NY,14222
SUNY Cortland,Cortland,NY,13045-0900
SUNY at Fredonia,Fredonia,NY,14063-1136
SUNY College at Geneseo,Geneseo,NY,14454-1465
State University of New York at New Paltz,New Paltz,NY,12561-2443
SUNY Oneonta,Oneonta,NY,13820-4015
State University of New York at Oswego,Oswego,NY,13126
SUNY College at Potsdam,Potsdam,NY,13676-2294
SUNY at Purchase College,Purchase,NY,10577-1400
SUNY College of Optometry,New York,NY,10036-8003
SUNY College at Old Westbury,Old Westbury,NY,11568-0210
SUNY College at Plattsburgh,Plattsburgh,NY,12901-2681
SUNY Downstate Health Sciences University,Brooklyn,NY,11203-2098
Empire State University,Saratoga Springs,NY,12866-4391
SUNY Maritime College,Throggs Neck,NY,10465-4198
Upstate Medical University,Syracuse,NY,13210
Swedish Institute a College of Health Sciences,New York,NY,10001-6700
Syracuse University,Syracuse,NY,13244
Talmudical Seminary Oholei Torah,Brooklyn,NY,11213
Talmudical Institute of Upstate New York,Rochester,NY,14607-3046
Teachers College at Columbia University,New York,NY,10027
Tompkins Cortland Community College,Dryden,NY,13053-0139
Torah Temimah Talmudical Seminary,Staten Island,NY,10312
Touro University,New York,NY,10036
Trocaire College,Buffalo,NY,14220-2094
Excelsior University,Albany,NY,12203-5159
Ulster County Community College,Stone Ridge,NY,12484
Union College,Schenectady,NY,12308-2311
Union Theological Seminary in the City of New York,New York,NY,10027-5792
United Talmudical Seminary,Brooklyn,NY,11211
United States Merchant Marine Academy,Kings Point,NY,11024-1634
United States Military Academy,West  Point,NY,10996
Utica University,Utica,NY,13502-4892
Vassar College,Poughkeepsie,NY,12604
Villa Maria College,Buffalo,NY,14225-3999
